time_key,open,high,low,close,volume
2024-10-24,24.8,25.22,24.68,25,1862198
2024-10-25,25.25,26.05,25.24,25.28,2222572
2024-10-28,25.52,26.5,25.52,26.34,2319300
2024-10-29,26.35,26.568,25.9,26.35,1813495
2024-10-30,26.16,27.15,25.905,25.95,2198454
2024-10-31,25.75,26.085,24.45,24.63,3153344
2024-11-01,24.98,25.93,24.91,25.03,2807109
2024-11-04,24.82,25.03,24.2,24.84,2390604
2024-11-05,25.35,26.79,25.25,26.59,3397254
2024-11-06,27.49,28.53,27.3501,27.7,5510923
2024-11-07,27.73,28.55,27.4,27.52,3450748
2024-11-08,27.38,27.72,26.69,27.56,2762089
2024-11-11,28.05,29.29,27.95,28.19,5162810
2024-11-12,27.73,28.03,27.08,27.79,2847346
2024-11-13,27.79,28.63,27.185,27.25,3045996
2024-11-14,27.51,27.715,26.24,26.38,2724426
2024-11-15,26.3,26.41,25.39,25.99,3197182
2024-11-18,26.2,26.73,25.8,26.54,2675457
2024-11-19,27.46,33.5,27.3,32.96,27941881
2024-11-20,32.82,33.1,30.94,32.36,9005034
2024-11-21,33.5,36,32.41,34.99,13031433
2024-11-22,34.5,37.46,33.8,37.42,10053291
2024-11-25,38.5,39.88,37.8,37.86,9507359
2024-11-26,36.74,38.27,35.7805,36.36,5955448
2024-11-27,36.43,36.79,35.41,36.39,3790303
2024-11-29,37.78,39.3266,37.03,37.18,5545102
2024-12-02,38.03,38.21,36.01,36.19,5273643
2024-12-03,35.555,37.28,35.39,36.75,4157963
2024-12-04,37.37,39.35,37.15,37.59,7207114
2024-12-05,37.88,39.6376,37.445,37.49,7538405
2024-12-06,38.29,40.65,38.13,40.52,14028184
2024-12-09,41.9,42.94,40.0901,41.68,27865325
2024-12-10,37.11,45.08,35.62,41.73,51069496
2024-12-11,39.01,39.95,36.71,38.18,20197109
2024-12-12,37,39.93,37,38.25,11015232
2024-12-13,38,40.2,37.11,39.46,12272862
2024-12-16,39.5,43.07,38.91,42.94,12270840
2024-12-17,42.35,43.75,41.8607,42.86,9278719
2024-12-18,42.93,44.3395,38.64,39.69,11653861
2024-12-19,38.86,39.6399,33.6,35.45,16159543
2024-12-20,35.01,36.89,34.13,36.34,13085085
2024-12-23,36.48,36.9,35.12,35.46,4202046
2024-12-24,35.64,36.06,35.14,35.71,2677638
2024-12-26,35.71,37.85,35.5,37.32,5831559
2024-12-27,37.1,37.37,35.01,35.73,4856374
2024-12-30,35.18,35.675,33.91,35.29,4301127
2024-12-31,35.7,35.93,34.26,34.43,3318711
2025-01-02,35,35.43,34.06,34.67,3618531
2025-01-03,34.9,37.1752,34.6,36.78,4860950
2025-01-06,37.98,38.58,36.85,36.93,5306054
2025-01-07,37.25,37.5494,35.19,35.82,4343072
2025-01-08,34.71,35.15,33.01,33.3,5203928
2025-01-10,32.57,33.11,31.35,32.42,4664928
2025-01-13,31.2,31.4799,30.38,30.96,4635580
2025-01-14,31.64,32.19,30.24,30.9,5078480
2025-01-15,32.29,33,31.525,31.73,5005520
2025-01-16,31.8,32.68,31.57,32.31,3092393
2025-01-17,32.92,33,31.78,32.01,3852269
2025-01-21,32.35,33.4,31.3,32.81,4571968
2025-01-22,35.28,35.65,33.41,33.63,9551139
2025-01-23,33.14,34.11,32.63,34.04,4666258
2025-01-24,34.41,34.8,32.6521,32.81,5533383
2025-01-27,31.08,32.25,30.3412,31.14,6006504
2025-01-28,31.3,33.24,30.65,33,4463833
2025-01-29,32.79,32.97,31.17,31.65,3489366
2025-01-30,31.99,32.2863,31.29,32.05,3262221
2025-01-31,32.42,32.742,30.88,31.35,3522614
2025-02-03,29.5,31.48,29.4001,31.21,3877496
2025-02-04,32,33.81,31.9,33.77,5191945
2025-02-05,33.79,34.205,33.47,34.19,3560809
2025-02-06,34.79,34.85,33.11,33.65,3273014
2025-02-07,33.62,34.7499,33.1514,33.48,4286357
2025-02-10,33.75,35.98,33.57,35.09,6074376
2025-02-11,34.89,34.9,31.93,31.98,6954615
2025-02-12,31.55,32.7736,31.4141,32.5,4166053
2025-02-13,32.8,33.1,32.31,32.91,3480036
2025-02-14,32.83,32.97,31.37,31.56,4267736
2025-02-18,31.58,32.18,31.36,31.78,4200211
2025-02-19,31.57,32.12,30.65,30.77,4265647
2025-02-20,30.35,30.45,28.41,29.9,7576912
2025-02-21,30.03,30.235,28.41,28.5,4893474
2025-02-24,28.11,28.25,26.34,26.88,5716452
2025-02-25,26.41,26.82,25.18,26.33,6202650
2025-02-26,26.66,27.51,26.3,26.44,8067861
2025-02-27,24.95,25.68,23.5,23.88,14816940
2025-02-28,23.21,24.15,22.82,23.45,7522179
2025-03-03,23.99,24.35,22.01,22.03,6307353
2025-03-04,21.4,22.9627,20.97,22.1,6732000
2025-03-05,22.185,22.8,21.84,22.64,3561811
2025-03-06,22.12,22.54,21.26,21.5,4626314
2025-03-07,21.15,22.79,20.92,22.53,4720137
2025-03-10,21.615,22.11,20.51,20.96,6428389
2025-03-11,20.845,21.72,20.62,20.92,4269950
2025-03-12,21.7,21.9167,20.95,21.62,2977052
2025-03-13,21.44,21.56,20.66,20.92,2953060
2025-03-14,21.33,21.78,21.2012,21.61,4113769
2025-03-17,21.66,22.3,21.48,21.94,3056655
2025-03-18,21.755,22.25,21.23,22.13,3729088
2025-03-19,22.25,23.15,22.24,22.7,3384323
2025-03-20,22.33,22.96,22.21,22.38,2492750
2025-03-21,21.93,23.02,21.77,22.62,3870783
2025-03-24,23.24,23.78,23.12,23.49,3055269
